04-21-2025 15:13:43 RAM 1557/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,25%@1420,66%@1420,58%@1420,25%@1420,100%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42.5C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 7331mW/7331mW VDD_CPU_GPU_CV 2371mW/2371mW VDD_SOC 1469mW/1469mW
04-21-2025 15:14:22 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1419,0%@1420,0%@1418,8%@1420,23%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6391mW VDD_CPU_GPU_CV 1594mW/1772mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:22 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,91%@1419,7%@1420,15%@1420,16%@1420,8%@1415] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6390mW VDD_CPU_GPU_CV 1594mW/1771mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:23 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [20%@1419,48%@1420,3%@1420,6%@1419,6%@1420,46%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6011mW/6389mW VDD_CPU_GPU_CV 1431mW/1770mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:23 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [21%@1420,100%@1418,21%@1420,23%@1419,30%@1420,33%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6388mW VDD_CPU_GPU_CV 1594mW/1769mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,100%@1420,36%@1421,76%@1419,83%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6461mW/6389mW VDD_CPU_GPU_CV 1840mW/1770mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,100%@1417,30%@1420,44%@1420,8%@1420,50%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6758mW/6390mW VDD_CPU_GPU_CV 2044mW/1770mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1418,100%@1419,9%@1419,0%@1420,9%@1420,50%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6717mW/6391mW VDD_CPU_GPU_CV 2003mW/1771mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,100%@1420,0%@1420,9%@1421,0%@1420,0%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6594mW/6391mW VDD_CPU_GPU_CV 1881mW/1771mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,100%@1415,8%@1419,25%@1418,0%@1419,8%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6471mW/6392mW VDD_CPU_GPU_CV 1840mW/1772mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1866/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1420,0%@1414,16%@1419,0%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6389mW/6392mW VDD_CPU_GPU_CV 1758mW/1772mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:23 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1421,100%@1419,9%@1420,10%@1420,15%@1420,8%@1422] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6348mW/6391mW VDD_CPU_GPU_CV 1758mW/1772mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [20%@1422,100%@1419,16%@1420,10%@1419,0%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6307mW/6391mW VDD_CPU_GPU_CV 1717mW/1771mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1421,100%@1418,25%@1420,8%@1420,0%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6257mW/6391mW VDD_CPU_GPU_CV 1676mW/1771mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1416,100%@1420,16%@1420,8%@1420,0%@1415,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6225mW/6390mW VDD_CPU_GPU_CV 1635mW/1771mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1421,100%@1417,18%@1419,9%@1420,0%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6184mW/6390mW VDD_CPU_GPU_CV 1635mW/1770mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,100%@1419,9%@1420,0%@1420,0%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6184mW/6389mW VDD_CPU_GPU_CV 1635mW/1770mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1419,18%@1418,9%@1420,0%@1421,8%@1416] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6388mW VDD_CPU_GPU_CV 1594mW/1769mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,100%@1420,10%@1421,8%@1412,16%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6388mW VDD_CPU_GPU_CV 1594mW/1769mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1420,9%@1421,9%@1419,0%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6387mW VDD_CPU_GPU_CV 1594mW/1768mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:24 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,100%@1417,10%@1420,9%@1419,0%@1420,0%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6386mW VDD_CPU_GPU_CV 1635mW/1768mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,100%@1424,16%@1419,0%@1420,0%@1420,16%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6175mW/6386mW VDD_CPU_GPU_CV 1635mW/1768mW VDD_SOC 1388mW/1382mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1415,100%@1420,16%@1419,0%@1425,9%@1413,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@40C GPU@40C PMIC@50C VDD_IN 6134mW/6385mW VDD_CPU_GPU_CV 1594mW/1767mW VDD_SOC 1347mW/1382mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1419,0%@1420,16%@1423,15%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.95C AO@40C GPU@40C PMIC@50C VDD_IN 6144mW/6384mW VDD_CPU_GPU_CV 1594mW/1767mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1420,0%@1415,23%@1421,8%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6384mW VDD_CPU_GPU_CV 1594mW/1766mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,100%@1419,15%@1414,16%@1420,0%@1420,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6383mW VDD_CPU_GPU_CV 1594mW/1766mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:25 RAM 1867/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1421,100%@1425,0%@1422,16%@1422,8%@1421,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6382mW VDD_CPU_GPU_CV 1594mW/1765mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:25 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,100%@1421,9%@1421,9%@1421,16%@1419,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6382mW VDD_CPU_GPU_CV 1594mW/1765mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:25 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,100%@1420,8%@1420,9%@1420,0%@1417,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6175mW/6381mW VDD_CPU_GPU_CV 1594mW/1764mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:25 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1421,100%@1420,9%@1421,0%@1420,0%@1421,16%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6184mW/6381mW VDD_CPU_GPU_CV 1635mW/1764mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,100%@1420,9%@1419,9%@1420,16%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6380mW VDD_CPU_GPU_CV 1635mW/1764mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1419,100%@1421,9%@1420,9%@1420,0%@1410,8%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6379mW VDD_CPU_GPU_CV 1594mW/1763mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1415,100%@1420,0%@1418,9%@1420,0%@1421,0%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6379mW VDD_CPU_GPU_CV 1594mW/1763mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,100%@1421,8%@1420,9%@1419,8%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6378mW VDD_CPU_GPU_CV 1594mW/1762mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,100%@1420,16%@1420,16%@1420,0%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6144mW/6377mW VDD_CPU_GPU_CV 1594mW/1762mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:26 RAM 1868/6855MB (lfb 1x2MB) SWAP 231/3427MB (cached 3MB) CPU [0%@1420,100%@1419,8%@1420,9%@1419,9%@1420,8%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6377mW VDD_CPU_GPU_CV 1594mW/1761mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:26 RAM 1857/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1418,100%@1420,9%@1415,23%@1420,0%@1419,8%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6376mW VDD_CPU_GPU_CV 1594mW/1761mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:26 RAM 1857/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,100%@1420,8%@1420,0%@1419,0%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6375mW VDD_CPU_GPU_CV 1594mW/1760mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1419,100%@1418,30%@1420,0%@1420,16%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6375mW VDD_CPU_GPU_CV 1594mW/1760mW VDD_SOC 1388mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1419,100%@1421,9%@1409,0%@1419,8%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6374mW VDD_CPU_GPU_CV 1635mW/1760mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1419,100%@1420,9%@1420,0%@1420,9%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6373mW VDD_CPU_GPU_CV 1594mW/1759mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1417,100%@1421,15%@1420,0%@1420,15%@1418,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6134mW/6373mW VDD_CPU_GPU_CV 1594mW/1759mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1419,100%@1418,0%@1414,0%@1420,9%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6103mW/6372mW VDD_CPU_GPU_CV 1594mW/1758mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1418,100%@1420,9%@1420,0%@1427,21%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6093mW/6371mW VDD_CPU_GPU_CV 1594mW/1758mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,100%@1420,9%@1419,0%@1418,0%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6093mW/6371mW VDD_CPU_GPU_CV 1594mW/1757mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:27 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [11%@1420,50%@1419,10%@1420,3%@1418,7%@1420,51%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 5970mW/6370mW VDD_CPU_GPU_CV 1431mW/1757mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:28 RAM 1861/6855MB (lfb 35x1MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1420,8%@1420,8%@1420,0%@1419,7%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6011mW/6369mW VDD_CPU_GPU_CV 1472mW/1756mW VDD_SOC 1347mW/1381mW
04-21-2025 15:14:28 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1419,100%@1417,0%@1420,0%@1419,9%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6011mW/6368mW VDD_CPU_GPU_CV 1472mW/1755mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,100%@1418,0%@1420,0%@1419,23%@1419,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6021mW/6367mW VDD_CPU_GPU_CV 1513mW/1754mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,100%@1420,0%@1419,0%@1420,9%@1420,16%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@40C GPU@40.5C PMIC@50C VDD_IN 6062mW/6366mW VDD_CPU_GPU_CV 1513mW/1754mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,100%@1420,0%@1420,8%@1419,9%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6052mW/6365mW VDD_CPU_GPU_CV 1513mW/1753mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1858/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1420,100%@1420,15%@1420,8%@1419,0%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@41.5C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6062mW/6364mW VDD_CPU_GPU_CV 1513mW/1753mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,100%@1420,0%@1420,0%@1420,9%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.8C AO@40C GPU@40C PMIC@50C VDD_IN 6062mW/6364mW VDD_CPU_GPU_CV 1513mW/1752mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:28 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [30%@1419,100%@1418,15%@1419,8%@1420,16%@1420,8%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40C CPU@42C thermal@40.8C AO@40C GPU@40C PMIC@50C VDD_IN 6093mW/6363mW VDD_CPU_GPU_CV 1554mW/1751mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:29 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [20%@1419,100%@1420,9%@1420,16%@1421,0%@1422,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6103mW/6362mW VDD_CPU_GPU_CV 1554mW/1751mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:29 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,100%@1420,16%@1420,16%@1427,9%@1420,0%@1414] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6134mW/6362mW VDD_CPU_GPU_CV 1594mW/1751mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:29 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,100%@1419,0%@1421,0%@1420,15%@1420,8%@1416] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.75C AO@39.5C GPU@40C PMIC@50C VDD_IN 6103mW/6361mW VDD_CPU_GPU_CV 1594mW/1750mW VDD_SOC 1347mW/1380mW
04-21-2025 15:14:29 RAM 1859/6855MB (lfb 38x1MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1419,100%@1419,8%@1415,15%@1420,9%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.75C AO@39.5C GPU@40C PMIC@50C VDD_IN 6093mW/6360mW VDD_CPU_GPU_CV 1554mW/1750mW VDD_SOC 1347mW/1380mW
